Oxysoft export of,C:\Documents and Settings\fsepulv\Desktop\TFMP01,,,,,,,,,,,,,,,,,,,,,,,,
23,71.0893097,51.8018188,19.2874908,40.5801582,75.251358,-34.6712036,52.871254,53.6177177,-0.7464607,68.1742554,48.748764,19.4254875,50.5240479,53.5780678,-3.0540168,70.4574585,49.4191551,21.0383072,74.1008377,52.1650925,21.9357433,71.0697327,53.0196037,18.050127,
24,70.0749741,52.7135925,17.3613796,40.7875862,75.1677628,-34.3801765,52.7742844,53.4528809,-0.6785943,68.5883789,48.812973,19.7754097,50.8456535,53.4484558,-2.6028016,70.1290512,49.1640663,20.964983,75.4485168,51.254921,24.1935997,72.4233246,51.9371185,20.486208,
25,70.0433731,53.0729828,16.9703884,40.0432816,75.4677277,-35.4244461,52.7742844,53.4528809,-0.6785943,68.2768707,49.0540657,19.2228069,49.955513,54.0926704,-4.1371603,70.69207,49.0663147,21.6257534,75.42939,50.9023819,24.5270081,72.720192,51.8174782,20.9027138,
26,70.5280228,52.0280151,18.5000095,40.4703407,75.2956161,-34.8252754,52.6940079,53.7911072,-1.0970981,68.6931915,48.4240761,20.2691154,50.2891808,53.7678795,-3.4786975,69.5120544,50.3371353,19.1749249,73.9335556,52.0489845,21.8845692,72.15065,51.7071495,20.4435043,
27,69.8442154,52.466732,17.3774815,40.2507095,75.3841324,-35.133419,51.393856,54.5257874,-3.1319337,67.1348648,49.8745499,17.2603188,51.2979126,53.7487907,-2.4508784,68.9552155,50.425602,18.5296116,74.7681961,51.5290947,23.2391052,71.9355927,52.6706543,19.2649384,
28,70.916893,52.3742905,18.5426006,39.8358498,75.5513229,-35.7154694,53.1467628,53.2008133,-0.0540506,67.2198944,49.9626312,17.2572613,49.7764702,54.3619461,-4.5854745,71.7746048,48.7591896,23.0154114,73.7551041,52.68507,21.070034,71.2364273,52.7689018,18.4675236,
29,70.7638321,52.6059036,18.1579285,40.4167442,74.9025879,-34.4858437,52.407589,53.8045769,-1.3969882,68.0701752,48.9062614,19.1639099,50.0541611,53.8625946,-3.8084319,70.8040237,49.415432,21.3885937,74.4348145,52.0304985,22.404314,73.0288849,51.3532143,21.6756687,
30,70.112648,52.3585472,17.7541027,39.5992279,75.2320557,-35.6328278,51.9496994,54.0910645,-2.1413658,69.1317215,48.4784508,20.6532764,49.8690796,54.2226639,-4.3535876,70.5747681,49.242733,21.3320313,75.1021729,51.3945007,23.707674,71.3542252,52.9049492,18.4492798,
31,70.508667,52.3688774,18.1397915,39.9334641,75.5119858,-35.5785179,53.1583176,53.4000702,-0.241751,68.1666718,49.2208252,18.9458427,49.0525398,54.4565735,-5.4040341,69.4610977,49.4332542,20.0278435,75.4485168,51.254921,24.1935997,72.720192,51.8174782,20.9027138,
32,70.2280273,52.4819794,17.7460518,39.9334641,75.5119858,-35.5785179,51.8253174,54.8888817,-3.0635624,68.5883789,48.812973,19.7754097,50.4815292,54.0778008,-3.5962713,69.5363617,50.0554543,19.4809093,74.6015091,51.7797966,22.8217087,72.4351501,51.592495,20.8426571,
33,69.9219131,52.9452057,16.9767075,40.360527,75.3398743,-34.9793472,51.5836487,54.2385864,-2.6549401,68.4835281,49.215477,19.2680492,50.5984192,53.6432533,-3.0448368,68.9857101,50.1482201,18.837492,74.7614365,51.1715698,23.5898666,73.1714096,51.4657097,21.705698,
34,70.7638321,52.6059036,18.1579285,39.9042702,75.1091232,-35.2048492,52.591259,53.5266418,-0.9353814,68.0701752,48.9062614,19.1639099,50.2149658,53.7977905,-3.5828242,69.1778641,50.3358727,18.8419914,74.434227,51.6636887,22.7705345,72.3991547,52.300312,20.0988407,
35,70.6362534,52.4873924,18.1488609,39.9334641,75.5119858,-35.5785179,53.0607033,53.4394073,-0.3787042,68.0694427,49.137661,18.9317818,49.7206459,54.282486,-4.561841,69.8581848,50.0616989,19.7964859,74.1008377,52.1650925,21.9357433,72.4233246,51.9371185,20.486208,
36,71.5158539,51.7930489,19.722805,39.5992279,75.2320557,-35.6328278,53.3362122,53.0225067,0.3137059,68.2783356,48.5912666,19.6870651,49.083931,54.7362022,-5.6522694,70.1170959,49.4271774,20.6899166,75.6152115,51.0042191,24.6109943,73.0170593,51.6978378,21.3192215,
37,71.362793,52.024662,19.3381329,40.3069305,74.946846,-34.6399155,52.5906143,53.7308159,-1.140201,68.0694427,49.137661,18.9317818,50.7212181,53.036396,-2.3151777,69.8944473,49.5169067,20.3775368,74.1002502,51.7982826,22.3019657,71.6387253,52.7902946,18.8484325,
38,71.8086929,51.6750298,20.1336632,39.7260361,75.5955811,-35.8695412,51.8585091,54.0258598,-2.1673496,68.9120941,48.5669632,20.3451309,50.5559006,54.1429901,-3.5870912,70.2224426,49.5138702,20.7085743,75.2688675,51.1437988,24.1250706,71.2364273,52.7689018,18.4675236,
39,70.0433731,53.0729828,16.9703884,41.0072212,75.0792542,-34.0720329,53.175312,53.8078499,-0.6325387,67.8490372,49.4711838,18.3778534,49.7206459,54.282486,-4.561841,69.7347107,50.247406,19.4873047,74.6015091,51.7797966,22.8217087,70.6798019,52.9932251,17.6865749,
40,70.7638321,52.6059036,18.1579285,41.3806839,74.5141144,-33.1334305,53.6691589,53.7107811,-0.0416232,68.7965393,48.4979782,20.2985649,50.1283798,53.8326836,-3.7043054,70.9270859,48.9715996,21.9554882,73.2118073,53.5021706,19.7096329,73.1714096,51.4657097,21.705698,
41,71.5025787,52.1382561,19.3643188,40.4167442,74.9025879,-34.4858437,52.6930199,54.1041718,-1.4111547,69.4432373,48.2373581,21.2058792,50.2891808,53.7678795,-3.4786975,69.7590103,49.9657249,19.7932892,74.2619476,52.2904854,21.9714584,72.720192,51.8174782,20.9027138,
42,70.8974915,52.7287636,18.1687279,40.4167442,74.9025879,-34.4858437,51.8453178,54.3438454,-2.4985254,67.537529,49.7122765,17.8252506,50.3330956,54.137619,-3.8045247,69.8581848,50.0616989,19.7964859,73.1236496,52.5589066,20.564743,71.2729645,52.4007225,18.8722458,
43,70.6362534,52.4873924,18.1488609,40.360527,75.3398743,-34.9793472,52.4123802,54.2172737,-1.804895,68.5891113,48.5815735,20.0075378,51.1372643,53.9086952,-2.7714326,70.3339844,49.6048584,20.729126,73.2420883,53.0889359,20.1531506,73.4806442,51.3410835,22.1395588,
44,70.7893143,52.2557793,18.5335331,41.0512352,74.6468887,-33.5956497,53.5603333,53.4419708,0.1183612,69.0161743,48.4094658,20.6067085,51.8107796,53.2498283,-1.4390482,70.5743484,48.9846077,21.5897427,74.434227,51.6636887,22.7705345,72.3626328,52.6820793,19.6805553,
45,70.3556137,52.6004906,17.7551193,41.2708664,74.5583725,-33.2875061,52.0341225,54.3697128,-2.3355885,68.0701752,48.9062614,19.1639099,50.6424866,54.1080933,-3.46561,70.4628296,48.9072037,21.5556259,73.6237335,51.8068008,21.8169308,72.5051727,52.8081551,19.6970215,
46,71.2230072,51.9110641,19.311945,40.0994987,75.0304413,-34.9309425,53.4453812,53.1824226,0.2629586,68.1735229,48.9801636,19.1933594,50.5681152,54.0429077,-3.4747903,69.999794,49.6035995,20.3961926,73.4570389,52.0575027,21.3995342,72.838562,52.3067513,20.5318127,
47,70.1648331,53.2007599,16.9640694,40.8438072,74.730484,-33.886673,52.6882286,53.6914749,-1.0032479,68.2776031,48.8226662,19.454937,51.1128502,54.122448,-3.009598,70.0117493,49.3404884,20.6712589,74.0890808,52.5504723,21.5386028,71.8419647,52.1714134,19.6705494,
48,71.6638184,51.2440186,20.4198017,40.5801582,75.251358,-34.6712036,52.9746475,53.6780052,-0.7033578,68.0701752,48.9062614,19.1639099,50.0246658,54.7649117,-4.7402449,69.8581848,50.0616989,19.7964859,75.2886124,51.8767319,23.4118767,71.6814423,52.4128304,19.2686119,
49,69.9219131,52.9452057,16.9767075,41.3806839,74.5141144,-33.1334305,51.9432755,54.1956139,-2.2523353,68.4850311,48.7390709,19.7459621,50.5984192,53.6432533,-3.0448368,70.2224426,49.5138702,20.7085743,73.2723846,52.6892853,20.5831032,71.3969421,52.5274849,18.8694611,
50,71.2097321,52.2562752,18.9534607,41.1610527,74.6026306,-33.4415779,52.5000687,53.4614334,-0.9613652,67.8627396,48.9898567,18.8728848,50.9763069,53.8784027,-2.9020939,71.5268021,48.6007652,22.9260349,75.1151352,51.7563248,23.3588066,73.1477966,52.1821251,20.9656734,
51,70.3556137,52.6004906,17.7551193,41.1610527,74.6026306,-33.4415779,53.0780411,53.7382965,-0.6602548,68.0694427,49.137661,18.9317818,51.2979126,53.7487907,-2.4508784,69.3013382,50.1501694,19.1511745,74.7687912,51.8959045,22.8728828,73.0052567,52.0560493,20.9492092,
52,69.7188873,53.564003,16.1548824,40.7875862,75.1677628,-34.3801765,52.497448,54.2917442,-1.7942982,68.4842987,48.9704704,19.5138321,53.0160484,52.2950897,0.7209596,70.0989685,49.6995735,20.3993912,74.1058578,51.4357719,22.6700821,72.3991547,52.300312,20.0988407,
53,70.6362534,52.4873924,18.1488609,40.4167442,74.9025879,-34.4858437,51.8642883,54.1254883,-2.2612,68.4850311,48.7390709,19.7459621,50.9763069,53.8784027,-2.9020939,70.69207,49.0663147,21.6257534,73.0995178,52.9492722,20.1502476,72.696022,52.1806717,20.5153465,
54,70.6362534,52.4873924,18.1488609,40.7875862,75.1677628,-34.3801765,53.2617111,53.4603577,-0.1986481,68.8080139,48.7244606,20.0835552,51.8109322,53.3449249,-1.5339946,70.3339844,49.6048584,20.729126,74.0649719,52.9544258,21.1105442,71.8054199,52.5395927,19.2658272,
55,70.2280273,52.4819794,17.7460518,40.8974037,75.1235123,-34.2261047,53.1756554,53.6989555,-0.5233017,68.1742554,48.748764,19.4254875,51.390522,53.6095123,-2.218992,69.5540771,49.5249329,20.0291462,74.1002502,51.7982826,22.3019657,71.8054199,52.5395927,19.2658272,
56,70.7638321,52.6059036,18.1579285,40.8974037,75.1235123,-34.2261047,52.7794189,53.7566833,-0.977264,69.2358017,48.3209534,20.914854,50.9200249,53.5136452,-2.5936213,70.0989685,49.6995735,20.3993912,74.1008377,52.1650925,21.9357433,72.8565369,51.9392548,20.917284,
57,70.7893143,52.2557793,18.5335331,40.7339897,74.7747345,-34.0407486,52.5906143,53.7308159,-1.140201,67.3491516,49.5502892,17.7988605,50.5863533,53.8384361,-3.252084,69.8940277,49.2587814,20.6352482,73.4452591,52.4292984,21.0159588,71.9963074,51.9392815,20.0570259,
58,70.6362534,52.4873924,18.1488609,40.8438072,74.730484,-33.886673,52.3089867,54.1569824,-1.847998,68.5937271,49.0487175,19.5450134,50.8898735,54.0083961,-3.1185212,71.644516,48.6824722,22.9620457,74.2675323,51.9143906,22.3531399,71.8054199,52.5395927,19.2658272,
59,70.112648,52.3585472,17.7541027,40.5265617,74.8583298,-34.3317719,52.2303391,53.9779663,-1.7476256,68.0701752,48.9062614,19.1639099,49.7328606,54.1823997,-4.4495401,71.749054,48.2664948,23.4825611,75.7948685,51.1153412,24.6795235,72.8565369,51.9392548,20.917284,
60,70.508667,52.3688774,18.1397915,39.7944565,75.1533737,-35.3589211,52.6875839,53.8956528,-1.2080674,68.4842987,48.9704704,19.5138321,50.7471581,53.773632,-3.0264761,70.9270859,48.9715996,21.9554882,74.2675323,51.9143906,22.3531399,72.8745422,51.5853462,21.2891922,
61,70.2801666,53.3378029,16.9423637,40.360527,75.3398743,-34.9793472,52.6021729,53.9300728,-1.3279015,67.7518082,49.3880157,18.3637924,50.9640923,53.9784851,-3.0143948,70.2047501,50.0579758,20.1467724,75.6152115,51.0042191,24.6109943,72.8565369,51.9392548,20.917284,
62,71.362793,52.024662,19.3381329,40.9536209,74.6862259,-33.7326012,52.1259613,54.2307434,-2.1047852,67.7586594,49.1473541,18.6113071,51.5756073,53.2494431,-1.6738361,71.1621094,48.8768845,22.285223,74.9354782,51.6452026,23.2902794,71.8419647,52.1714134,19.6705494,
63,70.3556137,52.6004906,17.7551193,40.360527,75.3398743,-34.9793472,52.8828125,53.8169746,-0.9341611,67.667511,49.0685349,18.598978,51.3282166,53.3491402,-2.0209248,69.6536636,49.8790321,19.7746315,74.6015091,51.7797966,22.8217087,73.3262939,51.5732155,21.7530823,
64,70.6749649,51.8056679,18.8692951,40.4167442,74.9025879,-34.4858437,52.1327248,54.0173035,-1.8845787,67.966095,49.0637589,18.9023342,50.6727867,53.7084427,-3.0356565,70.5739594,48.7400665,21.8338909,75.0954132,51.0369759,24.0584373,73.3314056,50.8982391,22.4331665,
65,69.7627335,53.1860809,16.5766487,40.4703407,75.2956161,-34.8252754,52.7742844,53.4528809,-0.6785943,68.1742554,48.748764,19.4254875,50.7471581,53.773632,-3.0264761,71.4094925,48.7771835,22.6323109,75.6152115,51.0042191,24.6109943,71.9659424,52.2981758,19.6677647,
66,69.9219131,52.9452057,16.9767075,41.3806839,74.5141144,-33.1334305,52.4140129,53.7000313,-1.2860188,67.2648544,49.2308083,18.0340462,51.6379089,53.5098152,-1.8719031,70.5739594,48.7400665,21.8338909,74.1002502,51.7982826,22.3019657,73.1832275,51.1210823,22.0621471,
67,71.5158539,51.7930489,19.722805,40.9536209,74.6862259,-33.7326012,53.7440033,53.1640358,0.5799679,67.9592361,49.3044205,18.6548176,50.4999199,53.9684334,-3.4685113,71.5338211,49.121315,22.4125061,74.1008377,52.1650925,21.9357433,73.3144913,51.9314232,21.38307,
68,70.7893143,52.2557793,18.5335331,41.0512352,74.6468887,-33.5956497,52.5052032,53.7652359,-1.260035,68.8080139,48.7244606,20.0835552,51.1188736,54.0180664,-2.8991926,72.1392975,48.4830704,23.6562233,74.4348145,52.0304985,22.404314,72.3991547,52.300312,20.0988407,
69,71.0699539,52.1426773,18.9272728,40.5801582,75.251358,-34.6712036,53.3477669,53.2217636,0.1260055,68.2768707,49.0540657,19.2228069,51.2920456,53.9482765,-2.6562304,70.1162872,48.924511,21.1917763,73.3970184,53.2236137,20.1734047,72.5293274,52.4313736,20.0979519,
70,70.1148605,53.587944,16.5269184,40.8438072,74.730484,-33.886673,53.646389,53.203373,0.4430147,68.4842987,48.9704704,19.5138321,51.0687637,53.6440239,-2.5752609,68.7630615,50.2379494,18.5251122,73.9279709,52.4250793,21.5028877,72.1022873,52.4199524,19.6823349,
71,70.1648331,53.2007599,16.9640694,40.5801582,75.251358,-34.6712036,53.0776978,53.847187,-0.7694919,68.5883789,48.812973,19.7754097,51.0808258,53.4488411,-2.3680136,70.0051575,49.0916481,20.9135113,74.7681961,51.5290947,23.2391052,71.9963074,51.9392815,20.0570259,
72,70.0749741,52.7135925,17.3613796,40.9536209,74.6862259,-33.7326012,53.3705368,53.7291718,-0.3586324,68.0701752,48.9062614,19.1639099,51.2417831,53.4791336,-2.2373524,71.1555176,48.6280441,22.5274754,74.7687912,51.8959045,22.8728828,73.0288849,51.3532143,21.6756687,
73,70.916893,52.3742905,18.5426006,40.8438072,74.730484,-33.886673,52.6824493,53.5918465,-0.9093977,68.1742554,48.748764,19.4254875,49.5538216,54.4516754,-4.8978543,70.2224426,49.5138702,20.7085743,76.4807892,50.4786568,26.0021343,73.0288849,51.3532143,21.6756687,
74,70.6362534,52.4873924,18.1488609,40.8438072,74.730484,-33.886673,51.9432755,54.1956139,-2.2523353,67.8620148,49.2212563,18.6407566,50.9443054,53.21838,-2.2740734,69.6355362,50.1514282,19.4841061,74.434227,51.6636887,22.7705345,72.720192,51.8174782,20.9027138,
75,69.3351135,53.535141,15.7999678,41.0512352,74.6468887,-33.5956497,52.9688683,53.5783768,-0.6095076,68.2638931,49.3039932,18.9599037,49.9688377,54.6854515,-4.7166119,69.7767258,49.4352036,20.341526,75.1021729,51.3945007,23.707674,71.9355927,52.6706543,19.2649384,
